"x","y"
0,1.4118529590287e-23
1,8.6965968497457e-23
2,5.17949869815381e-22
3,2.98266610953648e-21
4,1.66073398027847e-20
5,8.94075151714916e-20
6,4.65400128870036e-19
7,2.34238077149212e-18
8,1.13990067361951e-17
9,5.36358351443048e-17
10,2.4401785496228e-16
11,1.07341258794006e-15
12,4.56552035853267e-15
13,1.8775538612046e-14
14,7.46574317726446e-14
15,2.87033250126356e-13
16,1.06701344571656e-12
17,3.83518304357794e-12
18,1.33284860548564e-11
19,4.47872160989389e-11
20,1.45514353952218e-10
21,4.57126210793728e-10
22,1.38849695855765e-09
23,4.07785954198676e-09
24,1.15797214834751e-08
25,3.17938034985351e-08
26,8.44044566781514e-08
27,2.16654040283716e-07
28,5.37708283774363e-07
29,1.29034303761254e-06
30,2.99393356663739e-06
31,6.71672638300672e-06
32,1.45697357616543e-05
33,3.05579499217305e-05
34,6.19691123297961e-05
35,0.000121507995511233
36,0.000230363123595976
37,0.000422279094719332
38,0.000748453331647853
39,0.00128265066591172
40,0.00212535057537529
41,0.0034051110798724
42,0.00527485482757366
43,0.00790074891946685
44,0.0114420681499359
45,0.0160220956750698
46,0.0216926511570473
47,0.0283977848724833
48,0.0359446962788379
49,0.0439909856428621
50,0.0520560352750665
51,0.0595603175114061
52,0.0658902934100266
53,0.0704797572516086
54,0.0728930090882737
55,0.0728930090882737
56,0.0704797572516086
57,0.0658902934100267
58,0.0595603175114063
59,0.0520560352750666
60,0.0439909856428622
61,0.035944696278838
62,0.0283977848724834
63,0.0216926511570473
64,0.0160220956750698
65,0.0114420681499359
66,0.00790074891946689
67,0.0052748548275737
68,0.00340511107987242
69,0.0021253505753753
70,0.00128265066591173
71,0.000748453331647857
72,0.000422279094719336
73,0.000230363123595978
74,0.000121507995511234
75,6.19691123297967e-05
76,3.05579499217308e-05
77,1.45697357616545e-05
78,6.7167263830068e-06
79,2.99393356663743e-06
80,1.29034303761255e-06
81,5.37708283774366e-07
82,2.16654040283718e-07
83,8.44044566781526e-08
84,3.17938034985356e-08
85,1.15797214834753e-08
86,4.07785954198682e-09
87,1.38849695855768e-09
88,4.57126210793735e-10
89,1.4551435395222e-10
90,4.47872160989397e-11
91,1.33284860548566e-11
92,3.83518304357801e-12
93,1.06701344571658e-12
94,2.87033250126362e-13
95,7.46574317726456e-14
96,1.87755386120463e-14
97,4.56552035853277e-15
98,1.07341258794008e-15
99,2.44017854962287e-16
