"x","y"
0.1675,1.2166228670598e-21
0.176,4.61518592652025e-21
0.1845,1.71948208331974e-20
0.193,6.29189309385454e-20
0.2015,2.2612065848856e-19
0.21,7.98131358995261e-19
0.2185,2.76683801959099e-18
0.227,9.42037782310855e-18
0.2355,3.150127519357e-17
0.2439,1.03457784665135e-16
0.2524,3.3371324288068e-16
0.2609,1.05720433335058e-15
0.2694,3.28942246843329e-15
0.2779,1.00520722436814e-14
0.2864,3.01694070398505e-14
0.2949,8.8930999714793e-14
0.3034,2.57462985576374e-13
0.3119,7.32068389225759e-13
0.3204,2.0443899359327e-12
0.3288,5.60726447838916e-12
0.3373,1.51047511363061e-11
0.3458,3.99623789964835e-11
0.3543,1.03839914269998e-10
0.3628,2.65004064029702e-10
0.3713,6.64226157326358e-10
0.3798,1.63513886341341e-09
0.3883,3.95337975668032e-09
0.3968,9.38766652935883e-09
0.4052,2.18938430652511e-08
0.4137,5.01489187873449e-08
0.4222,1.12817474635571e-07
0.4307,2.49267926260916e-07
0.4392,5.40918274488956e-07
0.4477,1.152848221605e-06
0.4562,2.41316957202085e-06
0.4647,4.96110905636375e-06
0.4732,1.00171674559828e-05
0.4816,1.98648971357967e-05
0.4901,3.86903745352216e-05
0.4986,7.40107446499904e-05
0.5071,0.000139047069563509
0.5156,0.000256568971821402
0.5241,0.000464966489182081
0.5326,0.000827588410927341
0.5411,0.00144671296582447
0.5496,0.00248385119261597
0.5581,0.00418835997175077
0.5665,0.00693645628642564
0.575,0.0112825309536203
0.5835,0.0180239776561703
0.592,0.0282793858565089
0.6005,0.0435777229659952
0.609,0.0659529643482525
0.6175,0.0980345892648191
0.626,0.143119751537332
0.6345,0.205208355606486
0.6429,0.288978633833722
0.6514,0.399679297702714
0.6599,0.542916199412272
0.6684,0.724317825855231
0.6769,0.949075524348829
0.6854,1.22137098939591
0.6939,1.54372399084301
0.7024,1.91631515206905
0.7109,2.33635826752715
0.7194,2.79761001181416
0.7278,3.29010784332204
0.7363,3.80021633290002
0.7448,4.31103683369675
0.7533,4.80319671453204
0.7618,5.25598648904203
0.7703,5.64876273560829
0.7788,5.96248986024996
0.7873,6.18126268456482
0.7958,6.29364110294061
0.8042,6.29364110294061
0.8127,6.18126268456482
0.8212,5.96248986024996
0.8297,5.64876273560829
0.8382,5.25598648904203
0.8467,4.80319671453204
0.8552,4.31103683369675
0.8637,3.80021633290002
0.8722,3.29010784332204
0.8806,2.79761001181416
0.8891,2.33635826752715
0.8976,1.91631515206905
0.9061,1.54372399084301
0.9146,1.22137098939591
0.9231,0.949075524348829
0.9316,0.724317825855234
0.9401,0.542916199412272
0.9486,0.399679297702714
0.9571,0.288978633833722
0.9655,0.205208355606486
0.974,0.143119751537332
0.9825,0.0980345892648195
0.991,0.0659529643482525
0.9995,0.0435777229659952
