"x","y"
0,9.864870034239e-24
1,3.52622493984484e-23
2,1.23991054176326e-22
3,4.28876635256614e-22
4,1.45927155312605e-21
5,4.88429111342249e-21
6,1.6081577949382e-20
7,5.2085576370279e-20
8,1.65946456587141e-19
9,5.20092016674222e-19
10,1.60344506895896e-18
11,4.86283663901433e-18
12,1.45073125913327e-17
13,4.25741467298362e-17
14,1.22904173647379e-16
15,3.49018947558166e-16
16,9.74974086657201e-16
17,2.67916114547823e-15
18,7.24212963367695e-15
19,1.92573022772141e-14
20,5.0371663731444e-14
21,1.29610097806662e-13
22,3.28059845587357e-13
23,8.16824976323839e-13
24,2.00062935309709e-12
25,4.82020999555599e-12
26,1.14242310094258e-11
27,2.6634815251996e-11
28,6.10849321685418e-11
29,1.37809830353266e-10
30,3.05835570562556e-10
31,6.67663272983382e-10
32,1.43380032321695e-09
33,3.02887643047207e-09
34,6.29413614100457e-09
35,1.28662623889213e-08
36,2.58720219160019e-08
37,5.11764353075116e-08
38,9.95798317455386e-08
39,1.90605065991577e-07
40,3.58888205113722e-07
41,6.64730531205532e-07
42,1.21113836771642e-06
43,2.17071892815736e-06
44,3.82714678174549e-06
45,6.63755816124346e-06
46,1.13240885086235e-05
47,1.90046495527222e-05
48,3.13745980721987e-05
49,5.09516404506713e-05
50,8.13954008673725e-05
51,0.000127909634062513
52,0.000197728076447578
53,0.000300673478051106
54,0.000449762866444279
55,0.000661810671631456
56,0.000957956151192445
57,0.00136401513725276
58,0.00191053256390639
59,0.00263239703954208
60,0.00356787834709293
61,0.00475696961170216
62,0.00623896301530089
63,0.00804926341535959
64,0.0102155455343753
65,0.0127534793324037
66,0.0156623706157076
67,0.0189211707513983
68,0.0224853788069646
69,0.0262853707377601
70,0.0302266279273404
71,0.0341921955275739
72,0.0380474864851279
73,0.0416472806454448
74,0.0448444830893376
75,0.0474999431900293
76,0.049492438596781
77,0.0507278330156271
78,0.0511464462053119
79,0.0507278330156271
80,0.049492438596781
81,0.0474999431900293
82,0.0448444830893376
83,0.0416472806454448
84,0.0380474864851279
85,0.0341921955275739
86,0.0302266279273404
87,0.0262853707377601
88,0.0224853788069646
89,0.0189211707513983
90,0.0156623706157076
91,0.0127534793324037
92,0.0102155455343753
93,0.00804926341535959
94,0.00623896301530089
95,0.00475696961170216
96,0.00356787834709293
97,0.00263239703954208
98,0.00191053256390639
99,0.00136401513725276
