"x","y"
0,1.21174781522936e-23
1,5.78036550913811e-23
2,2.68984857382826e-22
3,1.22103985073935e-21
4,5.4070616292843e-21
5,2.33572805131954e-20
6,9.8426651070772e-20
7,4.04606277042912e-19
8,1.62248988834324e-18
9,6.34688832622758e-18
10,2.42197240320289e-17
11,9.01585667302366e-17
12,3.27396688992702e-16
13,1.15976778817919e-15
14,4.00771912398102e-15
15,1.35099265181294e-14
16,4.44260981839707e-14
17,1.42512458633519e-13
18,4.4596109019486e-13
19,1.36135245732415e-12
20,4.05390592354438e-12
21,1.17762286066824e-11
22,3.33709265366046e-11
23,9.22485986055887e-11
24,2.4876012420744e-10
25,6.54381824068103e-10
26,1.67923379632751e-09
27,4.20359222318641e-09
28,1.0265012175362e-08
29,2.44527570557043e-08
30,5.68231980647963e-08
31,1.28811010566943e-07
32,2.84845772020351e-07
33,6.14463433166953e-07
34,1.29303947566258e-06
35,2.65434273873468e-06
36,5.31534785168277e-06
37,1.03833108996967e-05
38,1.97865237170589e-05
39,3.67817693977555e-05
40,6.66999041592411e-05
41,0.000117990564196263
42,0.000203609867378323
43,0.000342751875256096
44,0.000562846971219613
45,0.000901634046242124
46,0.00140896351433446
47,0.00214782388069917
48,0.00319394226855055
49,0.00463324144224297
50,0.00655650320661763
51,0.00905084440577816
52,0.0121880827804805
53,0.0160107312199548
54,0.0205171207200097
55,0.0256478600957246
56,0.0312762973613553
57,0.0372056594355065
58,0.0431749809442267
59,0.0488747757799187
60,0.053971796822989
61,0.058140458304416
62,0.0610969457420373
63,0.0626310979220116
64,0.0626310979220116
65,0.0610969457420373
66,0.058140458304416
67,0.053971796822989
68,0.0488747757799187
69,0.0431749809442267
70,0.0372056594355065
71,0.0312762973613553
72,0.0256478600957246
73,0.0205171207200097
74,0.0160107312199548
75,0.0121880827804805
76,0.00905084440577816
77,0.00655650320661763
78,0.00463324144224297
79,0.00319394226855055
80,0.00214782388069917
81,0.00140896351433446
82,0.000901634046242124
83,0.000562846971219613
84,0.000342751875256096
85,0.000203609867378323
86,0.000117990564196263
87,6.66999041592411e-05
88,3.67817693977555e-05
89,1.97865237170589e-05
90,1.03833108996967e-05
91,5.31534785168277e-06
92,2.65434273873468e-06
93,1.29303947566258e-06
94,6.14463433166953e-07
95,2.84845772020351e-07
96,1.28811010566943e-07
97,5.68231980647963e-08
98,2.44527570557043e-08
99,1.0265012175362e-08
